character,frequency,is_variant,filter_layer,reason,modern_equivalents
篲,16,False,,passed all layers — likely truly disappeared,
駈,16,False,,passed all layers — likely truly disappeared,
刼,16,True,1,Unihan variant of {'劫'},劫
緫,16,False,,passed all layers — likely truly disappeared,
寔,15,False,,passed all layers — likely truly disappeared,
敍,15,True,1,Unihan variant of {'叙'},叙
澘,15,False,,passed all layers — likely truly disappeared,
甎,15,False,,passed all layers — likely truly disappeared,
櫺,15,False,,passed all layers — likely truly disappeared,
塼,15,False,,passed all layers — likely truly disappeared,
潨,15,False,,passed all layers — likely truly disappeared,
搢,15,False,,passed all layers — likely truly disappeared,
箒,15,True,1,Unihan variant of {'帚'},帚
崪,15,True,1,Unihan variant of {'崒'},崒
鄽,15,False,,passed all layers — likely truly disappeared,
氊,15,False,,passed all layers — likely truly disappeared,
綍,14,False,,passed all layers — likely truly disappeared,
喣,14,False,,passed all layers — likely truly disappeared,
沍,14,True,1,Unihan variant of {'冱'},冱
啣,14,False,,passed all layers — likely truly disappeared,
躭,14,True,1,Unihan variant of {'眈'},眈
飚,14,False,,passed all layers — likely truly disappeared,
毶,14,False,,passed all layers — likely truly disappeared,
顋,14,True,1,Unihan variant of {'腮'},腮
鄢,13,False,,passed all layers — likely truly disappeared,
讙,13,False,,passed all layers — likely truly disappeared,
韤,13,False,,passed all layers — likely truly disappeared,
韈,13,False,,passed all layers — likely truly disappeared,
瑀,13,False,,passed all layers — likely truly disappeared,
冏,13,False,,passed all layers — likely truly disappeared,
硖,13,False,,passed all layers — likely truly disappeared,
翣,13,False,,passed all layers — likely truly disappeared,
箆,13,False,,passed all layers — likely truly disappeared,
狥,12,True,1,Unihan variant of {'殉'},殉
憇,12,True,1,Unihan variant of {'憩'},憩
墖,12,True,1,Unihan variant of {'塔'},塔
笻,12,False,,passed all layers — likely truly disappeared,
畊,12,True,1,Unihan variant of {'耕'},耕
呪,12,True,1,Unihan variant of {'咒'},咒
郴,12,False,,passed all layers — likely truly disappeared,
麏,12,False,,passed all layers — likely truly disappeared,
葅,12,False,,passed all layers — likely truly disappeared,
甖,12,False,,passed all layers — likely truly disappeared,
婬,12,True,1,Unihan variant of {'淫'},淫
踈,12,False,,passed all layers — likely truly disappeared,
髠,12,True,1,Unihan variant of {'髡'},髡
餙,12,False,,passed all layers — likely truly disappeared,
蹏,12,True,1,Unihan variant of {'蹄'},蹄
覔,12,False,,passed all layers — likely truly disappeared,
顼,12,False,,passed all layers — likely truly disappeared,
骕,11,False,,passed all layers — likely truly disappeared,
絏,11,False,,passed all layers — likely truly disappeared,
矟,11,False,,passed all layers — likely truly disappeared,
橤,11,False,,passed all layers — likely truly disappeared,
燿,11,True,1,"Unihan variant of {'耀', '曜'}","曜, 耀"
铉,11,False,,passed all layers — likely truly disappeared,
袵,11,True,1,Unihan variant of {'衽'},衽
鲔,11,False,,passed all layers — likely truly disappeared,
趍,11,False,,passed all layers — likely truly disappeared,
蜨,11,True,1,Unihan variant of {'蝶'},蝶
拶,11,False,,passed all layers — likely truly disappeared,
埜,10,True,1,Unihan variant of {'野'},野
賮,10,False,,passed all layers — likely truly disappeared,
珩,10,False,,passed all layers — likely truly disappeared,
壍,10,False,,passed all layers — likely truly disappeared,
嗢,10,False,,passed all layers — likely truly disappeared,
靃,10,False,,passed all layers — likely truly disappeared,
淛,10,False,,passed all layers — likely truly disappeared,
弢,10,False,,passed all layers — likely truly disappeared,
颣,10,False,,passed all layers — likely truly disappeared,
啗,10,True,1,Unihan variant of {'啖'},啖
朣,10,False,,passed all layers — likely truly disappeared,
抝,10,True,1,Unihan variant of {'拗'},拗
惣,10,False,,passed all layers — likely truly disappeared,
惛,10,False,,passed all layers — likely truly disappeared,
铘,10,False,,passed all layers — likely truly disappeared,
騣,10,False,,passed all layers — likely truly disappeared,
齅,10,True,1,Unihan variant of {'嗅'},嗅
潾,10,False,,passed all layers — likely truly disappeared,
